ID,total_clients,fraction_fit,strategy,dataset,local_epochs,num_rounds,setting,partitioning_type,labels_per_client,alpha,batch_size,output_folder,learning_rate,dropout,Comments,valid
102,30,cyclic,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-05\\18-04-43,0.01,FALSE,,Yes
103,10,cyclic,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-05\\19-45-27,0.01,FALSE,,Yes
104,10,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-06\\15-02-55,0.01,FALSE,,Yes
105,10,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-09\\03-54-44,0.01,FALSE,,Yes
106,20,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-09\\03-56-26,0.01,FALSE,,Yes
107,30,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-09\\04-37-34,0.01,FALSE,,Yes
108,10,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-16\\03-07-15,"0,0001",FALSE,learning_rate: 0.0001,Yes
109,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-21\\22-55-53,0.01,FALSE,,Yes
110,20,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-21\\23-54-53,0.01,FALSE,,Yes
111,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-22\01-25-05,0.01,TRUE,with dropout 0.5,Yes
112,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\2024-10-22\02-18-42,"0,001",FALSE,learning rate 0.001,Yes
113,20,0.7,FedAvg,svhn,2,60,iid,iid,NA,NA,64,outputs\\2024-10-22\\02-31-48,0.01,FALSE,,Yes
114,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-22\\02-49-35,"0,007",FALSE,learning rate 0.007,Yes
115,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-22\\19-36-41,"0,005",FALSE,learning rate 0.005,Yes
116,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-22\\21-56-50,"0,003",FALSE,learning rate 0.003,Yes
117,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-22\\21-56-50,"0,003",FALSE,learning rate 0.003,Yes
118,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-23\\12-21-03,"0,002",TRUE,learning rate 0.002 with dropout,Yes
